date,city,temperature,humidity,condition
2020-01-01,New York,30.3,31,Fog
2020-01-02,New York,27.4,78,Thunderstorm
2020-01-03,New York,-8.0,56,Drizzle
2020-01-04,New York,32.0,57,Fog
2020-01-05,New York,35.0,71,Drizzle
2020-01-06,New York,16.1,23,Rain
2020-01-07,New York,18.2,79,Thunderstorm
2020-01-08,New York,10.6,37,Fog
2020-01-09,New York,32.4,70,Rain
2020-01-10,New York,15.8,82,Clouds
2020-01-11,New York,-9.5,89,Clear
2020-01-12,New York,-0.8,90,Drizzle
2020-01-13,New York,6.5,70,Clear
2020-01-14,New York,-9.3,43,Clouds
2020-01-15,New York,4.4,46,Snow
2020-01-16,New York,9.9,62,Drizzle
2020-01-17,New York,-5.8,58,Thunderstorm
2020-01-18,New York,-3.5,89,Rain
2020-01-19,New York,20.6,92,Rain
2020-01-20,New York,26.8,95,Rain
2020-01-21,New York,-2.8,67,Thunderstorm
2020-01-22,New York,11.4,83,Snow
2020-01-23,New York,2.7,53,Rain
2020-01-24,New York,35.4,63,Rain
2020-01-25,New York,26.4,97,Clouds
2020-01-26,New York,29.4,97,Snow
2020-01-27,New York,7.8,52,Clear
2020-01-28,New York,25.2,63,Rain
2020-01-29,New York,24.3,85,Rain
2020-01-30,New York,18.6,99,Rain
2020-01-31,New York,1.9,70,Drizzle
2020-02-01,New York,18.9,100,Snow
2020-02-02,New York,-5.9,45,Clear
2020-02-03,New York,-0.3,26,Snow
2020-02-04,New York,30.8,30,Rain
2020-02-05,New York,-3.7,96,Thunderstorm
2020-02-06,New York,29.7,28,Clear
2020-02-07,New York,35.3,63,Clouds
2020-02-08,New York,-1.4,51,Rain
2020-02-09,New York,-3.9,30,Drizzle
2020-02-10,New York,-4.9,49,Drizzle
2020-02-11,New York,6.6,72,Thunderstorm
2020-02-12,New York,-5.5,55,Snow
2020-02-13,New York,18.8,56,Clear
2020-02-14,New York,-7.5,37,Clouds
2020-02-15,New York,21.1,98,Thunderstorm
2020-02-16,New York,10.9,40,Fog
2020-02-17,New York,0.3,90,Snow
2020-02-18,New York,8.6,55,Snow
2020-02-19,New York,28.6,76,Snow
2020-02-20,New York,17.8,78,Thunderstorm
2020-02-21,New York,32.5,41,Fog
2020-02-22,New York,-5.1,38,Fog
2020-02-23,New York,27.3,97,Clear
2020-02-24,New York,31.8,95,Thunderstorm
2020-02-25,New York,21.7,47,Rain
2020-02-26,New York,-9.8,32,Snow
2020-02-27,New York,15.7,27,Clouds
2020-02-28,New York,13.8,36,Thunderstorm
2020-02-29,New York,33.8,27,Clouds
2020-03-01,New York,5.8,40,Fog
2020-03-02,New York,-3.5,86,Drizzle
2020-03-03,New York,9.7,29,Clear
2020-03-04,New York,-9.9,51,Thunderstorm
2020-03-05,New York,25.2,87,Clear
2020-03-06,New York,-2.0,87,Thunderstorm
2020-03-07,New York,25.2,37,Clouds
2020-03-08,New York,-9.5,52,Snow
2020-03-09,New York,-8.3,96,Clear
2020-03-10,New York,25.4,34,Rain
2020-03-11,New York,31.2,36,Drizzle
2020-03-12,New York,34.1,70,Snow
2020-03-13,New York,17.4,91,Snow
2020-03-14,New York,29.7,25,Clear
2020-03-15,New York,-6.7,72,Thunderstorm
2020-03-16,New York,33.3,76,Clouds
2020-03-17,New York,-2.0,40,Drizzle
2020-03-18,New York,-8.3,28,Clouds
2020-03-19,New York,-3.3,77,Fog
2020-03-20,New York,-7.7,89,Rain
2020-03-21,New York,37.6,54,Drizzle
2020-03-22,New York,25.7,63,Rain
2020-03-23,New York,23.0,63,Clouds
2020-03-24,New York,19.0,54,Thunderstorm
2020-03-25,New York,2.2,28,Clear
2020-03-26,New York,9.1,61,Rain
2020-03-27,New York,-0.4,69,Drizzle
2020-03-28,New York,12.1,60,Fog
2020-03-29,New York,-7.4,99,Clouds
2020-03-30,New York,11.0,46,Fog
2020-03-31,New York,17.3,41,Thunderstorm
2020-04-01,New York,10.7,53,Clear
2020-04-02,New York,21.6,22,Clouds
2020-04-03,New York,7.1,24,Fog
2020-04-04,New York,30.3,45,Drizzle
2020-04-05,New York,19.9,39,Clouds
2020-04-06,New York,21.2,54,Fog
2020-04-07,New York,6.6,72,Clouds
2020-04-08,New York,-2.8,65,Snow
2020-04-09,New York,11.6,69,Clouds
2020-04-10,New York,7.7,98,Thunderstorm
2020-04-11,New York,0.5,86,Thunderstorm
2020-04-12,New York,33.0,46,Thunderstorm
2020-04-13,New York,11.6,87,Drizzle
2020-04-14,New York,-7.0,36,Drizzle
2020-04-15,New York,35.4,54,Fog
2020-04-16,New York,6.1,34,Snow
2020-04-17,New York,8.1,72,Fog
2020-04-18,New York,4.7,61,Drizzle
2020-04-19,New York,-3.7,98,Thunderstorm
2020-04-20,New York,7.6,35,Clear
2020-04-21,New York,-4.4,61,Rain
2020-04-22,New York,39.3,74,Thunderstorm
2020-04-23,New York,10.8,50,Rain
2020-04-24,New York,7.6,74,Snow
2020-04-25,New York,19.2,26,Clouds
2020-04-26,New York,11.7,98,Fog
2020-04-27,New York,19.1,32,Clear
2020-04-28,New York,10.1,46,Clouds
2020-04-29,New York,28.0,66,Clouds
