city,date,temperature,humidity,conditions,wind_speed,pressure,feels_like,temp_min,temp_max,wind_direction,wind_gust,visibility,cloud_cover,rain,snow,rain_1h,rain_3h,snow_1h,snow_3h,weather_main,weather_id,weather_icon,uv_index,air_quality_index,air_quality_description,latitude,longitude,heat_index,wind_chill,dew_point,precipitation_probability,weather_comfort_score
Los Angeles,2019-01-01,35,77,Sunny,1.5,1022.9,33,31,41,31,1.5,18746,85,0.0,0.0,0.0,,0.0,,Sunny,800,01d,3,1,Moderate,34.05999326656036,-118.23578537264676,36.2,,26.1,14.4,71.5
Miami,2019-01-01,29.0,69,Sunny,4.4,1015.3,29.0,23.0,31.0,181,4.4,10593,77,0.0,0.0,0.0,,0.0,,Sunny,800,01d,7,3,Poor,25.752479763914796,-80.1965868048243,33.7,,23.4,64.8,65.0
New York,2019-01-01,7.5,67,Rainy,4.5,1016.3,4.5,1.5,12.5,82,6.5,9792,77,3.53,0.0,3.53,10.58,0.0,,Rainy,500,10d,10,3,Fair,40.70390878688355,-74.00076256776389,,4.3,-3.4,79.9,74.7
Phoenix,2019-01-01,36.5,48,Snowy,4.8,1006.3,36.5,34.5,39.5,42,4.8,7487,53,0.0,0.87,0.0,,0.87,2.62,Snowy,600,13d,4,1,Fair,33.44051039777095,-112.06946754548919,38.4,,29.1,34.5,75.8
Seattle,2019-01-01,12.5,55,Rainy,4.3,1019.2,14.5,9.5,15.5,50,7.3,18982,75,5.56,0.0,5.56,16.68,0.0,,Rainy,500,10d,2,3,Poor,47.615096465185026,-122.33096334863411,,,-1.0,41.7,43.0
Los Angeles,2019-01-02,27.0,77,Stormy,2.3,1029.8,24.0,24.0,30.0,19,2.3,9646,85,1.37,0.0,1.37,4.12,0.0,,Stormy,200,11d,8,5,Fair,34.054501685046965,-118.25198574566664,31.0,,20.5,57.9,59.9
Miami,2019-01-02,40,70,Cloudy,2.6,1019.0,38,35,46,75,3.6,13165,63,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,5,2,Good,25.753788756954222,-80.19756315217784,43.6,,27.6,51.2,91.4
New York,2019-01-02,8.6,57,Sunny,2.1,1015.1,7.6,4.6,11.6,11,7.1,14054,28,0.0,0.0,0.0,,0.0,,Sunny,800,01d,5,4,Fair,40.72054393301545,-74.00234973645338,,,-4.3,21.5,45.7
Phoenix,2019-01-02,45,45,Sunny,4.1,1000.9,47,42,50,161,7.1,6325,53,0.0,0.0,0.0,,0.0,,Sunny,800,01d,11,4,Moderate,33.45832244175512,-112.0708905188646,48.8,,34.2,50.0,91.8
Seattle,2019-01-02,10.5,64,Rainy,5.4,1006.4,9.5,7.5,12.5,41,6.4,14994,90,2.34,0.0,2.34,7.01,0.0,,Rainy,500,10d,10,4,Moderate,47.601209092415054,-122.32690796893007,,,-0.2,44.6,42.6
